i,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1030,123.458,21.112,17,139,1400.662,665.636,258.61,1341,657,111,20,108.943,12.038,0.695,0.194,111.759,1341,662,173.32,19.665,9.05,0.11,0.596
2,1037,96.916,29.526,25,139,812.977,360.838,153.924,783,338,52,44,58.124,22.716,139.66,0.55,67.476,783,338,140.412,26.163,2.559,0.391,0.904
3,1069,83.788,39.589,0,139,522.825,2444.478,189.321,493,2415,60,66,86.449,15.744,131.62,0.375,84.959,495,2418,132.138,18.605,5.491,0.182,0.855
4,1076,97.189,29.037,26,139,2049.836,1853.964,221.664,2006,1827,84,55,101.806,13.457,31.233,0.275,97.417,2007,1880,31.569,16.861,7.565,0.132,0.75
5,1091,40.786,48.522,0,139,2790.598,844.787,143.196,2767,819,41,46,41.039,33.848,88.902,0.669,46.271,2787,819,96.203,37.691,1.212,0.825,0.874
6,1097,131.508,5.129,118,139,176.816,2960.362,345.789,142,2935,60,63,44.343,31.499,121.229,0.115,76.4,142,2935,127.02,51.31,1.408,0.71,0.496
7,1097,133.006,4.819,116,139,1778.693,2158.175,194.108,1751,2139,55,35,48.581,28.751,15.838,0.366,56.515,1751,2168,13.299,34.565,1.69,0.592,0.778
8,1170,85.826,43.489,0,139,1517.591,2047.18,215.48,1498,2019,37,63,53.761,27.709,111.225,0.317,66.483,1501,2020,111.161,34.785,1.94,0.515,0.724
9,1243,126.813,8.722,96,139,2774.802,2841.102,392.96,2757,2775,34,142,90.653,17.458,89.964,0.101,142.425,2757,2775,94.43,31.862,5.193,0.193,0.375
10,1254,31.103,45.736,0,139,2744.594,183.561,164.024,2715,162,54,43,61.197,26.09,33.214,0.586,59.641,2718,198,34.756,28.774,2.346,0.426,0.844
11,1267,55.946,50.855,0,139,1040.727,1304.731,242.794,1006,1283,60,54,56.877,28.363,140.228,0.27,76.837,1006,1285,141.34,37.723,2.005,0.499,0.613
12,1275,86.559,37.335,0,139,2625.648,2913.735,214.309,2611,2870,36,79,75.208,21.585,100.893,0.349,80.411,2630,2870,100.751,28.915,3.484,0.287,0.656
13,1300,117.935,14.172,78,139,269.011,1766.043,170.853,236,1747,57,42,44.525,37.175,12.877,0.56,57.871,236,1762,9.951,40.363,1.198,0.835,0.839
14,1317,132.697,5.183,113,139,362.194,2981.795,315.747,325,2963,76,35,63.432,26.435,0.782,0.166,77.369,326,2976,165.784,34.703,2.4,0.417,0.584
15,1336,113.362,21.743,46,139,795.525,1074.948,202.652,768,1054,60,42,52.805,32.214,161.904,0.409,61.0,768,1073,10.389,40.5,1.639,0.61,0.709
16,1339,93.181,33.572,0,139,2797.218,62.335,175.338,2767,43,63,41,63.757,26.74,25.116,0.547,66.731,2767,70,19.25,32.827,2.384,0.419,0.835
17,1342,121.829,11.61,88,139,834.953,1121.245,163.196,800,1107,63,34,61.207,27.917,165.185,0.633,65.0,800,1110,165.75,32.668,2.192,0.456,0.903
18,1377,123.179,9.458,92,139,2284.106,2969.232,203.522,2258,2943,47,49,52.649,33.301,48.549,0.418,65.856,2258,2992,48.077,40.446,1.581,0.633,0.821
19,1399,116.171,15.296,75,139,3346.486,481.789,227.037,3329,439,30,87,88.295,20.174,81.842,0.341,88.459,3341,526,79.579,23.809,4.377,0.228,0.799
20,1444,99.266,33.784,0,139,1862.039,1338.555,514.299,1779,1308,175,69,74.024,24.837,10.367,0.069,177.071,1779,1377,8.771,58.641,2.98,0.336,0.217
21,1455,130.219,7.655,98,139,150.828,2008.411,408.517,111,1979,70,74,49.336,37.55,91.045,0.11,76.655,150,2053,74.876,63.383,1.314,0.761,0.447
22,1495,78.93,44.007,0,139,1943.91,2388.026,170.51,1925,2358,38,62,58.565,32.502,105.08,0.646,66.851,1929,2358,111.961,36.737,1.802,0.555,0.91
23,1516,79.485,34.319,16,139,2209.815,2524.106,176.309,2177,2502,65,43,71.138,27.134,28.957,0.613,70.007,2177,2533,21.801,28.837,2.622,0.381,0.902
24,1546,21.688,40.479,0,139,1018.448,2329.742,190.35,993,2297,54,69,82.153,23.96,124.405,0.536,79.404,995,2297,121.088,25.4,3.429,0.292,0.917
25,1554,14.181,33.818,0,139,2912.219,561.067,175.581,2889,531,56,52,46.21,42.818,179.031,0.633,58.241,2889,581,15.945,49.183,1.079,0.927,0.911
26,1579,130.137,6.646,98,139,2580.36,2975.202,494.399,2523,2954,112,37,93.526,21.496,179.166,0.081,113.137,2523,2987,8.13,37.0,4.351,0.23,0.458
27,1602,28.582,44.613,0,139,3077.869,1952.362,208.108,3047,1916,54,75,83.87,24.32,58.161,0.465,84.024,3047,1982,51.766,26.071,3.449,0.29,0.867
28,1674,98.884,25.849,31,139,889.012,327.995,221.48,865,286,49,80,80.285,26.548,61.833,0.429,86.163,867,366,68.199,34.988,3.024,0.331,0.751
29,1691,131.026,6.053,112,139,1856.538,678.886,514.222,1763,611,189,147,209.795,10.263,38.5,0.08,239.437,1763,758,37.875,16.728,20.443,0.049,0.54
30,1793,130.371,6.406,107,139,2215.137,2972.648,502.784,2166,2940,94,57,71.11,32.104,10.909,0.089,101.134,2166,2990,24.538,54.087,2.215,0.451,0.463
31,1807,130.011,7.752,101,139,85.755,1973.864,616.039,33,1924,125,100,83.105,27.685,35.688,0.06,137.753,34,2023,25.821,62.984,3.002,0.333,0.292
32,1817,129.781,7.09,99,139,2078.806,2969.847,399.387,2026,2937,100,56,82.61,28.005,158.887,0.143,110.923,2026,2941,154.359,40.079,2.95,0.339,0.602
33,1838,59.548,42.741,0,139,3287.495,2760.551,213.179,3260,2729,65,60,53.845,43.462,37.025,0.508,68.007,3260,2770,17.103,50.181,1.239,0.807,0.775
34,1858,131.42,6.7,105,139,25.022,1170.682,600.181,10,1087,35,144,115.938,20.405,90.032,0.065,144.499,25,1087,94.764,34.439,5.682,0.176,0.435
35,1876,73.476,40.211,0,139,299.128,2313.434,228.35,280,2267,42,85,80.87,29.536,105.188,0.452,85.843,305,2267,98.036,36.601,2.738,0.365,0.77
36,2088,113.403,18.836,50,139,3611.675,1904.948,417.831,3555,1877,116,49,92.115,28.861,170.207,0.15,116.619,3555,1906,174.094,41.566,3.192,0.313,0.577
37,2093,128.143,8.47,99,139,2692.052,2976.858,588.624,2638,2951,121,44,100.322,26.563,0.461,0.076,121.103,2638,2974,177.634,44.0,3.777,0.265,0.487
38,2105,113.37,16.329,70,139,3815.87,709.942,263.262,3781,680,74,57,71.224,37.63,152.01,0.382,79.31,3781,696,156.991,41.19,1.893,0.528,0.828
39,2149,70.417,46.584,0,139,628.117,2858.507,293.161,562,2821,103,76,105.345,25.974,33.127,0.314,123.976,562,2896,33.818,32.576,4.056,0.247,0.748
40,2220,21.389,39.436,0,138,2583.008,1004.616,208.309,2551,975,65,59,59.19,47.755,156.737,0.643,65.376,2551,1016,6.147,52.142,1.239,0.807,0.833
41,2236,118.313,15.905,82,139,832.312,2646.957,309.605,808,2603,69,81,80.212,35.493,117.003,0.293,95.964,822,2603,123.524,46.16,2.26,0.442,0.661
42,2270,63.753,47.311,0,139,3168.841,2531.72,402.86,3128,2470,78,101,74.915,38.58,132.818,0.176,118.461,3132,2470,125.032,54.432,1.942,0.515,0.526
43,2312,33.51,41.616,0,139,2803.458,1416.994,202.794,2774,1386,60,66,72.291,40.721,55.277,0.706,70.235,2794,1451,61.975,44.933,1.775,0.563,0.888
44,2357,45.831,45.375,0,139,1571.437,2006.789,405.161,1539,1966,121,75,70.934,42.307,160.962,0.18,124.664,1539,1981,166.075,68.479,1.677,0.596,0.453
45,2460,40.523,49.068,0,139,2389.808,1376.522,445.345,2357,1324,90,114,67.048,46.715,60.758,0.156,136.18,2369,1437,56.077,69.14,1.435,0.697,0.433
46,2620,30.745,42.6,0,139,1217.615,537.757,211.622,1189,506,59,67,61.203,54.506,87.674,0.735,69.376,1210,573,74.962,53.495,1.123,0.891,0.918
47,2657,93.089,32.086,0,139,3603.007,2084.75,298.635,3567,2045,64,80,69.735,48.512,86.68,0.374,83.096,3567,2105,39.629,58.362,1.437,0.696,0.712
48,2682,129.1,7.293,96,139,3822.586,375.781,410.943,3781,334,84,86,76.148,44.845,127.989,0.2,94.895,3781,359,151.004,62.41,1.698,0.589,0.599
49,3080,129.926,6.946,106,139,910.027,1143.214,416.801,862,1090,98,92,97.355,40.281,132.482,0.223,121.511,862,1091,140.677,56.545,2.417,0.414,0.627
50,3144,93.754,34.861,0,139,1276.906,1701.677,413.345,1233,1657,94,85,83.968,47.674,134.491,0.231,106.174,1233,1677,150.054,63.188,1.761,0.568,0.618
51,3226,109.414,26.631,0,139,3630.319,1990.023,632.382,3548,1954,131,85,79.907,51.403,156.974,0.101,147.733,3550,1957,150.832,82.737,1.555,0.643,0.409
52,3361,41.329,48.085,0,139,615.252,2384.063,389.061,564,2352,98,79,83.846,51.038,173.877,0.279,98.326,564,2387,4.667,75.62,1.643,0.609,0.663
53,3376,77.219,44.793,0,139,2065.839,1546.318,828.448,2001,1490,109,124,83.502,51.477,120.914,0.062,124.652,2003,1529,138.252,98.138,1.622,0.616,0.404
